"Id","SalePrice"
1461,131369.6541
1462,161398.2784
1463,173773.693666667
1464,183972.284433333
1465,201369.671366667
1466,187797.960966667
1467,180342.603533333
1468,172722.326966667
1469,182387.467466667
1470,122706.142233333
1471,215781.515366667
1472,92237.5226666666
1473,102035.6454
1474,153396.972233333
1475,131943.7701
1476,383522.1469
1477,290317.6617
1478,299614.306566667
1479,277674.279033333
1480,442505.171766667
1481,296137.664366667
1482,209424.692233333
1483,194543.375933333
1484,177249.561533333
1485,182541.922
1486,202872.8235
1487,292331.3628
1488,248919.647
1489,212898.9808
1490,214937.9695
1491,196121.025
1492,97304.3378666667
1493,186537.227466667
1494,307125.020966667
1495,293325.3853
1496,229437.9904
1497,179384.095433333
1498,156122.4461
1499,154315.364166667
1500,165383.129933333
1501,174896.447433333
1502,156754.8313
1503,308364.324633333
1504,236025.923733333
1505,214485.323966667
1506,170560.5015
1507,237925.1034
1508,182581.534533333
1509,152896.275366667
1510,148040.9274
1511,143615.627933333
1512,156936.342766667
1513,142221.114
1514,155180.930733333
1515,168297.4223
1516,165121.794833333
1517,162375.731133333
1518,129385.099333333
1519,237845.8481
1520,137400.086833333
1521,141849.169633333
1522,159973.0842
1523,116188.981266667
1524,121565.278366667
1525,130674.000833333
1526,130071.418933333
1527,107214.610566667
1528,133322.126833333
1529,142185.6466
1530,165625.3269
1531,119657.167833333
1532,110038.159933333
1533,138607.3648
1534,121095.664366667
1535,143647.864166667
1536,118636.2166
1537,97956.8237333333
1538,179260.2341
1539,229250.499266667
1540,113335.094966667
1541,144144.9636
1542,130308.1863
1543,186343.501533333
1544,84069.6627666667
1545,110529.281733333
1546,129485.272233333
1547,132459.613166667
1548,123944.458633333
1549,117544.474133333
1550,137646.545166667
1551,125322.279
1552,135195.177766667
1553,149909.918366667
1554,114219.612766667
1555,165202.529866667
1556,99567.8789
1557,123432.907933333
1558,106441.2158
1559,98108.6090666667
1560,143035.0592
1561,141964.427166667
1562,128007.656766667
1563,124678.7848
1564,154641.469633333
1565,148591.273466667
1566,248949.735166667
1567,84747.4361333334
1568,219002.3469
1569,146949.426366667
1570,146411.115833333
1571,119034.720633333
1572,143421.061866667
1573,247312.027
1574,126807.091033333
1575,232366.004566667
1576,227303.185866667
1577,205515.0251
1578,158483.1951
1579,145300.480933333
1580,191474.701033333
1581,149258.694933333
1582,129088.934566667
