"Id","SalePrice"
1461,126524.259795579
1462,183406.557684964
1463,169389.546112975
1464,194184.341519612
1465,190000.277090105
1466,171508.007265949
1467,171819.186740047
1468,171838.618816966
1469,202075.591541686
1470,119295.853078621
1471,197124.965602429
1472,89000.3760973827
1473,94254.0255228172
1474,143623.691710931
1475,123518.233361387
1476,364195.928917438
1477,233464.731541629
1478,263560.786291203
1479,284887.11906319
1480,631901.873436716
1481,403809.798713335
1482,206305.054618019
1483,183706.848604665
1484,171646.281496868
1485,187914.216128989
1486,191779.887099898
1487,343002.962181381
1488,243205.534387018
1489,202766.120456852
1490,229609.350782028
1491,206025.272813396
1492,78027.068861743
1493,193989.994714693
1494,287659.364818418
1495,318646.221535895
1496,239784.607238727
1497,186851.784385282
1498,160802.614643472
1499,156671.556502355
1500,143091.992052137
1501,196154.487242839
1502,154996.681204996
1503,317529.679218036
1504,261943.511643162
1505,250991.306921876
1506,163839.60342806
1507,271559.543751691
1508,191818.845819485
1509,168816.945672162
1510,157748.985750637
1511,147883.584127549
1512,171613.115665671
1513,149555.634657019
1514,129240.094347425
1515,176722.77343889
1516,168453.487710834
1517,167483.612816059
1518,122834.988680733
1519,233227.742493325
1520,135460.616970146
1521,145015.247981179
1522,175828.798239857
1523,103607.992073217
1524,129752.943270747
1525,128666.109272079
1526,120478.284606264
1527,95044.3389140645
1528,139052.544327753
1529,158167.823096231
1530,166273.047775811
1531,113462.909577288
1532,85391.5862219879
1533,135362.044805097
1534,116364.549893682
1535,149289.202003229
1536,96687.9925263615
1537,70772.6465761793
1538,166739.413306027
1539,175589.383036699
1540,98186.1363805994
1541,147597.440666598
1542,137170.25947934
1543,218556.320119013
1544,77325.686411228
1545,112395.474488219
1546,133401.787163455
1547,115384.538493685
1548,125676.653586792
1549,97514.8803756978
1550,133846.622941496
1551,110934.917315127
1552,121006.310023941
1553,154476.126195604
1554,109588.835383515
1555,160083.180108131
1556,137887.663802433
1557,115754.169657878
1558,110095.36299539
1559,114168.082839376
1560,140422.010989759
1561,100180.557329932
1562,124600.29365434
1563,130761.206780819
1564,141191.762804085
1565,143892.96774221
1566,247703.069797991
1567,83478.7664785809
1568,268889.899978113
1569,118536.48975011
1570,122003.122218352
1571,120961.411722151
1572,148087.498915892
1573,240275.851484539
1574,116922.420282426
1575,239231.58186852
1576,247491.569351201
1577,176077.432639675
1578,143299.840981668
1579,144992.799604278
1580,201609.31470882
1581,139809.723367906
1582,120413.484783914
1583,364270.312682546
1584,240077.018928554
1585,133959.975521516
1586,64747.0773056823
1587,106555.641135255
1588,155444.389074139
1589,108792.670174206
1590,126376.120717817
1591,82164.0638616488
1592,107307.155116415
1593,122740.078523433
1594,115741.715191212
1595,127840.082365194
1596,232839.856768099
